,Breakdown,12/31/2020,12/31/2019,12/31/2018,12/31/2017
0,Total Assets,142502134,116263634,99205204,87780507
1,Total Liabilities Net Minority Interest,130751488,106412527,90527427,79962206
2,Total Equity Gross Minority Interest,11750646,9851107,8677777,7818301
3,Total Capitalization,25280104,23326711,19051684,17790108
4,Preferred Stock Equity,1545000,1145000,940000,990000
5,Common Stock Equity,10205646,8706107,7737777,6828301
6,Net Tangible Assets,11497136,9574118,8349333,7461941
7,Invested Capital,23735104,22531711,18211684,16900108
8,Tangible Book Value,9952136,8429118,7409333,6471941
9,Total Debt,13529458,13825604,10473907,10071807
10,Net Debt,8434704,12126047,7662748,7774786
11,Share Issued,174124,168621,164902,161696
12,Ordinary Shares Number,174124,168621,164902,161696
13,Preferred Shares Number,61800,45800,37600,25600
