,Breakdown,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017
0,Operating Cash Flow,531262,531262,938511,1111204,1012138
1,Investing Cash Flow,21854817,21854817,17034752,11062019,14484094
2,Financing Cash Flow,24718752,24718752,14984639,10464953,13661255
3,End Cash Position,5094754,5094754,1699557,2811159,2297021
4,Income Tax Paid Supplemental Data,157433,157433,155315,97852,95163
5,Interest Paid Supplemental Data,614860,614860,808117,516784,282819
6,Capital Expenditure,148667,148667,167941,133875,166706
7,Issuance of Capital Stock,1008080,1008080,553089,503624,713213
8,Issuance of Debt,6955000,6955000,7050000,3300000,4743328
9,Repayment of Debt,6900000,6900000,3950000,2900000,1475973
10,Repurchase of Capital Stock,100000,100000,190000,350000,349525
11,Free Cash Flow,382595,382595,770570,977329,845432
