,Breakdown,1/31/2020,1/31/2019,1/31/2018
0,Total Assets,13631000,11863700.0,11885700.0
1,Total Liabilities Net Minority Interest,7819500,6035900.0,6349300.0
2,Total Equity Gross Minority Interest,5811500,5827800.0,5536400.0
3,Total Capitalization,8505400,8647200.0,8597700.0
4,Common Stock Equity,5811500,5827800.0,5536400.0
5,Capital Lease Obligations,1895500,0,0
6,Net Tangible Assets,1346800,1411900.0,2024900.0
7,Working Capital,1033100,1344700.0,1159200.0
8,Invested Capital,8568800,8660000.0,8617200.0
9,Tangible Book Value,1346800,1411900.0,2024900.0
10,Total Debt,4652800,2832200.0,3080800.0
11,Net Debt,2253900,2380200.0,2586900.0
12,Share Issued,85890,85446.0,84851.0
13,Ordinary Shares Number,72293,75404.0,77179.0
14,Preferred Shares Number,8,8.0,8.0
15,Treasury Shares Number,13597,10043.0,7672.0
