,Breakdown,12/31/2019,12/31/2018,12/31/2017
0,Total Assets,65665000,60638000,50454000.0
1,Total Liabilities Net Minority Interest,43860000,41390000,35314000.0
2,Total Equity Gross Minority Interest,21805000,19248000,15140000.0
3,Total Capitalization,40734000,38769000,29135000.0
4,Preferred Stock Equity,2258000,2258000,0
5,Common Stock Equity,17691000,14900000,12690000.0
6,Net Tangible Assets,18134000,14513000,9697000.0
7,Working Capital,5811000,3878000,3294000.0
8,Invested Capital,43507000,40263000,32102000.0
9,Tangible Book Value,15876000,12255000,9697000.0
10,Total Debt,25816000,25363000,19412000.0
11,Net Debt,25708000,25173000,19124000.0
12,Share Issued,292000,274000,251000.0
13,Ordinary Shares Number,292000,274000,251000.0
14,Preferred Shares Number,23000,23000,0
