,Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
0,Operating Cash Flow,2296957.0,3716366,3479139,2874566
1,Investing Cash Flow,2477755.0,3091406,4489158,213592
2,Financing Cash Flow,7514300.0,670371,1198073,2675796
3,End Cash Position,3016318.0,243738,287852,120112
4,Interest Paid Supplemental Data,167746.0,246312,252466,249615
5,Capital Expenditure,2256009.0,3024663,3660028,564138
6,Issuance of Debt,26316128.0,29766104,13321026,5866966
7,Repayment of Debt,17832608.0,29673355,10928961,7835087
8,Repurchase of Capital Stock,-,99582,575039,224998
9,Free Cash Flow,4552966.0,691703,180889,2310428
